Item,Unidade,Categoria,Estoque,Estoque Mínimo,Discriminação,Última Atualização
Placa ST Acartonado,Placa,Gesso,10,3,Controle,
Placa RU Acartonado,Placa,Gesso,0,3,Controle,
Placa Convencional,Placa,Gesso,0,3,Controle,
Pó de Gesso (5kg),Saco,Gesso,0,2,Controle,
Fita Papel Drywall,Rolo,Gesso,2,1,Controle,
Fita Telada Drywall,Rolo,Gesso,4,1,Controle,
Perfil Montante,Barra,Gesso,3,1,Controle,
Perfil Guia,Barra,Gesso,0,1,Controle,
Gesso Cola (5Kg),Saco ,Gesso,1,2,Controle,
Massa para Drywall (20Kg),Balde ,Gesso,1,1,Controle,
Pó de Brita (20Kg),Saco ,Rejunte,5,0,Não Controle,
Graute (25Kg),Saco ,Concreto,2,5,Controle,
Autonivelante (20Kg),Saco ,Concreto,4,5,Controle,
Cimento CP32 (50Kg),Saco ,Concreto,0,2,Controle,
Argamassa de Projeção (25Kg),Saco ,Concreto,0,5,Controle,
Cimento Cola ACIII (25Kg),Saco ,Concreto,0,5,Controle,
Bianco (18L),Balde,Alvenaria,1,1,Controle,
Tela Plástica Estuque,Rolo,Alvenaria,0,1,Controle,
Máscara PFF,Unidade,EPI,19,5,Controle,
Protetor Auricular,Unidade,EPI,4,1,Controle,
Óculos Transparente,Unidade,EPI,9,1,Controle,
Luva Tátil,Par,EPI,2,1,Controle,
Luva de Solda,Par,EPI,3,1,Controle,
Luva Látex,Par,EPI,10,5,Controle,
Trava Quedas 6M,Unidade,EPI,1,1,Ferramenta,
Talabarte,Unidade,EPI,2,1,Ferramenta,
Cinto de Segurança,Unidade,EPI,2,1,Ferramenta,
Máscara de Solda,Unidade,EPI,0,1,Ferramenta,Emprestado Donovan (Elisandro)
"Disco de Desbaste 7""",Unidade,Disco,6,1,Controle,
"Disco de Desbaste 4.1/2""",Unidade,Disco,3,1,Controle,
"Disco de Desbaste 4""",Unidade,Disco,4,1,Controle,
"Disco Diamantado 4.1/2""",Unidade,Disco,2,2,Controle,
"Disco Metal 9""",Unidade,Disco,20,0,Não Controle,
"Disco Metal 7x7/8""",Unidade,Disco,3,0,Não Controle,
"Disco Madeira 7-1/4""",Unidade,Disco,2,0,Não Controle,
"Disco ferro 4.1/2""",Unidade,Disco,0,5,Controle,
Lixa 80 Massa,Pacote,Pintura,1,2,Controle,
Lixa 120 Massa,Pacote,Pintura,0,2,Controle,
Lixa 150 Massa,Pacote,Pintura,0,2,Controle,
Lixa 180 Massa,Pacote,Pintura,0,2,Controle,
Lixa 220 Massa,Pacote,Pintura,0,2,Controle,
Lixa 80 Reboco,Rolo,Pintura,1,1,Controle,
Tinta SW Névoa Passageira,Balde,Tinta,1,1,Controle,
Tinta SW Branco Fosco,Balde,Tinta,1,2,Controle,
Tinta SW SC-161 Prata,Balde,Tinta,1,1,Controle,
Tinta SW Manhã Gelada,Balde,Tinta,0,2,Controle,
Tinta Suvinil Grisalho,Balde,Tinta,2,2,Controle,
Tinta SW Grisalho,Balde,Tinta,1,1,Controle,
Tinta Suvinil Branco Fosco,Balde,Tinta,1,1,Controle,
Tinta Suvinil Cromio,Balde,Tinta,1,1,Controle,
Tinta SW Cinza Agradável Canto,Balde,Tinta,3,2,Controle,
Tinta SW Cinza Agradável Vanguarda,Balde,Tinta,1,2,Controle,
Massa Corrida Acrílica,Balde,Pintura,2,2,Controle,
Massa Corrida PVA,Balde,Pintura,1,2,Controle,
Resina SW Impermeabilizante,Balde,Pintura,2,1,Controle,
